title,genres,director,cast,vote_average,metadata
Rebecca,Drama|Mystery,Alfred Hitchcock,Laurence Olivier|Joan Fontaine|George Sanders,7.7,Drama|Mystery Alfred Hitchcock Laurence Olivier|Joan Fontaine|George Sanders
Friday the 13th Part 2,Horror|Thriller,Steve Miner,Amy Steel|John Furey|Adrienne King,6.0,Horror|Thriller Steve Miner Amy Steel|John Furey|Adrienne King
The Lost Weekend,Drama,Billy Wilder,Ray Milland|Jane Wyman|Phillip Terry,7.4,Drama Billy Wilder Ray Milland|Jane Wyman|Phillip Terry
C.H.U.D.,Horror|Science Fiction,Douglas Cheek,John Heard|Daniel Stern|Christopher Curry,5.3,Horror|Science Fiction Douglas Cheek John Heard|Daniel Stern|Christopher Curry
Filly Brown,Drama,Michael D. Olmos,Resmine Atis|Baby Bash|David Bianchi,5.9,Drama Michael D. Olmos Resmine Atis|Baby Bash|David Bianchi
The Lion of Judah,Adventure|Animation|Comedy|Family,Deryck Broom,Georgina Cordova|Ernest Borgnine|Michael Madsen,5.8,Adventure|Animation|Comedy|Family Deryck Broom Georgina Cordova|Ernest Borgnine|Michael Madsen
Niagara,Crime|Drama|Thriller,Henry Hathaway,Marilyn Monroe|Joseph Cotten|Jean Peters,6.7,Crime|Drama|Thriller Henry Hathaway Marilyn Monroe|Joseph Cotten|Jean Peters
How Green Was My Valley,Drama,John Ford,Walter Pidgeon|Maureen O'Hara|Roddy McDowall,6.8,Drama John Ford Walter Pidgeon|Maureen O'Hara|Roddy McDowall
Da Sweet Blood of Jesus,Thriller|Comedy|Romance,Spike Lee,Felicia Pearson|Zaraah Abrahams|Elvis Nolasco,4.1,Thriller|Comedy|Romance Spike Lee Felicia Pearson|Zaraah Abrahams|Elvis Nolasco
"Sex, Lies, and Videotape",Drama,Steven Soderbergh,Andie MacDowell|Peter Gallagher|James Spader,6.7,Drama Steven Soderbergh Andie MacDowell|Peter Gallagher|James Spader
Saw,Horror|Mystery|Crime,James Wan,Cary Elwes|Danny Glover|Monica Potter,7.2,Horror|Mystery|Crime James Wan Cary Elwes|Danny Glover|Monica Potter
Super Troopers,Comedy|Crime|Mystery,Jay Chandrasekhar,Jay Chandrasekhar|Steve Lemme|Kevin Heffernan,6.6,Comedy|Crime|Mystery Jay Chandrasekhar Jay Chandrasekhar|Steve Lemme|Kevin Heffernan
The Algerian,,Giovanni Zelko,Ben Youcef|Candice Coke|Harry Lennix,0.0, Giovanni Zelko Ben Youcef|Candice Coke|Harry Lennix
The Amazing Catfish,Comedy|Drama,Claudia Sainte-Luce,Lisa Owen|Ximena Ayala|Sonia Franco,5.7,Comedy|Drama Claudia Sainte-Luce Lisa Owen|Ximena Ayala|Sonia Franco
Monsoon Wedding,Comedy|Drama|Romance,Mira Nair,Naseeruddin Shah|Lillete Dubey|Vijay Raaz,6.8,Comedy|Drama|Romance Mira Nair Naseeruddin Shah|Lillete Dubey|Vijay Raaz
You Can Count on Me,Drama|Romance,Kenneth Lonergan,Laura Linney|Mark Ruffalo|Matthew Broderick,6.8,Drama|Romance Kenneth Lonergan Laura Linney|Mark Ruffalo|Matthew Broderick
The Trouble with Harry,Comedy|Mystery|Thriller,Alfred Hitchcock,Edmund Gwenn|John Forsythe|Shirley MacLaine,6.9,Comedy|Mystery|Thriller Alfred Hitchcock Edmund Gwenn|John Forsythe|Shirley MacLaine
But I'm a Cheerleader,Comedy,Jamie Babbit,Natasha Lyonne|Brandt Wille|Bud Cort,6.5,Comedy Jamie Babbit Natasha Lyonne|Brandt Wille|Bud Cort
Home Run,Drama,David Boyd,Scott Elrod|Dorian Brown|Charles Henry Wyson,6.3,Drama David Boyd Scott Elrod|Dorian Brown|Charles Henry Wyson
Reservoir Dogs,Crime|Thriller,Quentin Tarantino,Harvey Keitel|Tim Roth|Michael Madsen,8.0,Crime|Thriller Quentin Tarantino Harvey Keitel|Tim Roth|Michael Madsen
The Blue Bird,Drama|Family|Fantasy,Walter Lang,Shirley Temple|Spring Byington|Nigel Bruce,6.4,Drama|Family|Fantasy Walter Lang Shirley Temple|Spring Byington|Nigel Bruce
"The Good, the Bad and the Ugly",Western,Sergio Leone,Eli Wallach|Clint Eastwood|Lee Van Cleef,8.1,Western Sergio Leone Eli Wallach|Clint Eastwood|Lee Van Cleef
The Second Mother,Drama,Anna Muylaert,Regina Casé|Michel Joelsas|Camila Márdila,7.8,Drama Anna Muylaert Regina Casé|Michel Joelsas|Camila Márdila
Blue Like Jazz,Drama|Comedy,Steve Taylor,Marshall Allman|Claire Holt|Tania Raymonde,5.8,Drama|Comedy Steve Taylor Marshall Allman|Claire Holt|Tania Raymonde
Down & Out With The Dolls,Comedy|Music,,,0.0,Comedy|Music  
"Pink Ribbons, Inc.",Documentary,Léa Pool,Samantha King|Barbara Brenner|Barbara Ehrenreich,6.8,Documentary Léa Pool Samantha King|Barbara Brenner|Barbara Ehrenreich
Certifiably Jonathan,Comedy,James David Pasternak,Jonathan Winters|Robin Williams|Sarah Silverman,0.0,Comedy James David Pasternak Jonathan Winters|Robin Williams|Sarah Silverman
Desire,Drama|Romance,Laurent Bouhnik,Déborah Révy|Hélène Zimmer|Gowan Didi,4.1,Drama|Romance Laurent Bouhnik Déborah Révy|Hélène Zimmer|Gowan Didi
The Blade of Don Juan,Drama|Comedy,Tom Sanchez,Juan Carlos Montoya|Rodrigo Viaggio|Irma Maury,0.0,Drama|Comedy Tom Sanchez Juan Carlos Montoya|Rodrigo Viaggio|Irma Maury
Grand Theft Parsons,Crime|Comedy|Drama|Adventure,David Caffrey,Johnny Knoxville|Christina Applegate|Gabriel Macht,6.0,Crime|Comedy|Drama|Adventure David Caffrey Johnny Knoxville|Christina Applegate|Gabriel Macht
Extreme Movie,Comedy,Adam Jay Epstein,Patrick J. Adams|Ryan Pinkston|Denise Boutte,3.9,Comedy Adam Jay Epstein Patrick J. Adams|Ryan Pinkston|Denise Boutte
The Charge of the Light Brigade,Action|Adventure|Drama|War,Michael Curtiz,Errol Flynn|Olivia de Havilland|Patric Knowles,6.8,Action|Adventure|Drama|War Michael Curtiz Errol Flynn|Olivia de Havilland|Patric Knowles
Below Zero,Thriller|Horror,Justin Thomas Ostensen,Edward Furlong|Michael Berryman|Kristin Booth,4.4,Thriller|Horror Justin Thomas Ostensen Edward Furlong|Michael Berryman|Kristin Booth
Crowsnest,,,,4.8,  
Airborne,Action|Adventure|Comedy,Rob Bowman,Shane McDermott|Seth Green|Brittney Powell,6.1,Action|Adventure|Comedy Rob Bowman Shane McDermott|Seth Green|Brittney Powell
Cotton Comes to Harlem,Action|Adventure,Ossie Davis,Godfrey Cambridge|Raymond St. Jacques|Calvin Lockhart,6.7,Action|Adventure Ossie Davis Godfrey Cambridge|Raymond St. Jacques|Calvin Lockhart
The Wicked Within,Horror,Jay Alaimo,Sienna Guillory|Gianni Capaldi|Enzo Cilenti,4.2,Horror Jay Alaimo Sienna Guillory|Gianni Capaldi|Enzo Cilenti
Bleeding Hearts,Horror,Dylan Bank,Robert Loggia|Charles Durning|Tony Todd,2.0,Horror Dylan Bank Robert Loggia|Charles Durning|Tony Todd
Waiting...,Comedy,Rob McKittrick,Ryan Reynolds|Anna Faris|Justin Long,6.2,Comedy Rob McKittrick Ryan Reynolds|Anna Faris|Justin Long
Dead Man's Shoes,Drama|Thriller|Crime,Shane Meadows,Paddy Considine|Gary Stretch|Toby Kebbell,7.2,Drama|Thriller|Crime Shane Meadows Paddy Considine|Gary Stretch|Toby Kebbell
From a Whisper to a Scream,Comedy|Horror,Jeff Burr,Vincent Price|Clu Gulager|Terry Kiser,6.8,Comedy|Horror Jeff Burr Vincent Price|Clu Gulager|Terry Kiser
Sex With Strangers,Documentary,,,5.0,Documentary  
Dracula: Pages from a Virgin's Diary,Horror,Guy Maddin,Wei-Qiang Zhang|Tara Birtwhistle|David Moroni,6.9,Horror Guy Maddin Wei-Qiang Zhang|Tara Birtwhistle|David Moroni
Faith Like Potatoes,Drama,Regardt van den Bergh,Frank Rautenbach|Jeanne Neilson|Hamilton Dlamini,6.0,Drama Regardt van den Bergh Frank Rautenbach|Jeanne Neilson|Hamilton Dlamini
Beyond the Black Rainbow,Fantasy|Science Fiction|Horror,Panos Cosmatos,Michael Rogers|Scott Hylands|Marilyn Norry,5.7,Fantasy|Science Fiction|Horror Panos Cosmatos Michael Rogers|Scott Hylands|Marilyn Norry
The Raid,Action|Thriller|Crime,Gareth Evans,Iko Uwais|Joe Taslim|Donny Alamsyah,7.3,Action|Thriller|Crime Gareth Evans Iko Uwais|Joe Taslim|Donny Alamsyah
The Dead Undead,Horror|Science Fiction|Action,Matthew R. Anderson,Luke Goss|Joshua Alba|Matthew R. Anderson,3.1,Horror|Science Fiction|Action Matthew R. Anderson Luke Goss|Joshua Alba|Matthew R. Anderson
The Vatican Exorcisms,Horror|Documentary|Mystery,Joe Marino,Joe Marino,4.4,Horror|Documentary|Mystery Joe Marino Joe Marino
Casablanca,Drama|Romance,Michael Curtiz,Humphrey Bogart|Ingrid Bergman|Paul Henreid,7.9,Drama|Romance Michael Curtiz Humphrey Bogart|Ingrid Bergman|Paul Henreid
Lake Mungo,Horror|Thriller,Joel Anderson,Talia Zucker|Rosie Traynor|David Pledger,6.1,Horror|Thriller Joel Anderson Talia Zucker|Rosie Traynor|David Pledger
Rocket Singh: Salesman of the Year,Drama|Comedy|Romance,Shimit Amin,Ranbir Kapoor|Sumeet Darshan Dobhal|Gauhar Khan,7.0,Drama|Comedy|Romance Shimit Amin Ranbir Kapoor|Sumeet Darshan Dobhal|Gauhar Khan
Silent Running,Adventure|Drama|Science Fiction,Douglas Trumbull,Bruce Dern|Cliff Potts|Ron Rifkin,6.3,Adventure|Drama|Science Fiction Douglas Trumbull Bruce Dern|Cliff Potts|Ron Rifkin
Rocky,Drama,John G. Avildsen,Sylvester Stallone|Talia Shire|Burt Young,7.5,Drama John G. Avildsen Sylvester Stallone|Talia Shire|Burt Young
The Sleepwalker,Drama,Mona Lerche,Christopher Abbott|Brady Corbet|Stephanie Ellis,4.1,Drama Mona Lerche Christopher Abbott|Brady Corbet|Stephanie Ellis
Tom Jones,Adventure|Comedy|History|Romance,Tony Richardson,Albert Finney|Susannah York|Hugh Griffith,6.1,Adventure|Comedy|History|Romance Tony Richardson Albert Finney|Susannah York|Hugh Griffith
Unfriended,Horror|Thriller,Levan Gabriadze,Shelley Hennig|Moses Jacob Storm|Renee Olstead,5.5,Horror|Thriller Levan Gabriadze Shelley Hennig|Moses Jacob Storm|Renee Olstead
Taxi Driver,Crime|Drama,Martin Scorsese,Robert De Niro|Cybill Shepherd|Harvey Keitel,8.0,Crime|Drama Martin Scorsese Robert De Niro|Cybill Shepherd|Harvey Keitel
The Howling,Drama|Horror,Joe Dante,Patrick Macnee|Dennis Dugan|Christopher Stone,6.4,Drama|Horror Joe Dante Patrick Macnee|Dennis Dugan|Christopher Stone
Dr. No,Adventure|Action|Thriller,Terence Young,Sean Connery|Ursula Andress|Joseph Wiseman,6.9,Adventure|Action|Thriller Terence Young Sean Connery|Ursula Andress|Joseph Wiseman
Chernobyl Diaries,Horror|Thriller,Bradley Parker,Jesse McCartney|Jonathan Sadowski|Olivia Taylor Dudley,4.9,Horror|Thriller Bradley Parker Jesse McCartney|Jonathan Sadowski|Olivia Taylor Dudley
Hellraiser,Horror,Clive Barker,Andrew Robinson|Clare Higgins|Ashley Laurence,6.9,Horror Clive Barker Andrew Robinson|Clare Higgins|Ashley Laurence
God's Not Dead 2,Drama,Harold Cronk,Hayley Orrantia|Melissa Joan Hart|Jesse Metcalfe,5.7,Drama Harold Cronk Hayley Orrantia|Melissa Joan Hart|Jesse Metcalfe
Cry_Wolf,Horror|Thriller,Jeff Wadlow,Julian Morris|Lindy Booth|Jared Padalecki,5.6,Horror|Thriller Jeff Wadlow Julian Morris|Lindy Booth|Jared Padalecki
Godzilla 2000,Adventure|Horror|Action|Science Fiction,Takao Okawara,Takehiro Murata|Naomi Nishida|Mayu Suzuki,5.9,Adventure|Horror|Action|Science Fiction Takao Okawara Takehiro Murata|Naomi Nishida|Mayu Suzuki
Blue Valentine,Drama|Romance,Derek Cianfrance,Ryan Gosling|Michelle Williams|Mike Vogel,6.9,Drama|Romance Derek Cianfrance Ryan Gosling|Michelle Williams|Mike Vogel
Transamerica,Drama,Duncan Tucker,Felicity Huffman|Kevin Zegers|Elizabeth Peña,6.9,Drama Duncan Tucker Felicity Huffman|Kevin Zegers|Elizabeth Peña
The Devil Inside,Thriller|Horror,William Brent Bell,Fernanda Andrade|Simon Quarterman|Evan Helmuth,4.6,Thriller|Horror William Brent Bell Fernanda Andrade|Simon Quarterman|Evan Helmuth
Beyond the Valley of the Dolls,Comedy|Drama|Thriller,Russ Meyer,Dolly Read|Cynthia Myers|Marcia McBroom,6.6,Comedy|Drama|Thriller Russ Meyer Dolly Read|Cynthia Myers|Marcia McBroom
Love Me Tender,Drama|Action|Western|Music|Romance,Robert D. Webb,Richard Egan|Debra Paget|Elvis Presley,5.5,Drama|Action|Western|Music|Romance Robert D. Webb Richard Egan|Debra Paget|Elvis Presley
An Inconvenient Truth,Documentary,Davis Guggenheim,Al Gore|Billy West|Ronald Reagan,6.7,Documentary Davis Guggenheim Al Gore|Billy West|Ronald Reagan
Sands of Iwo Jima,Action|Drama|History|War,Allan Dwan,John Wayne|John Agar|Adele Mara,6.2,Action|Drama|History|War Allan Dwan John Wayne|John Agar|Adele Mara
Shine a Light,Documentary|Music,Martin Scorsese,Mick Jagger|Keith Richards|Charlie Watts,7.2,Documentary|Music Martin Scorsese Mick Jagger|Keith Richards|Charlie Watts
The Green Inferno,Action|Adventure|Horror|Thriller,Eli Roth,Lorenza Izzo|Ariel Levy|Sky Ferreira,5.0,Action|Adventure|Horror|Thriller Eli Roth Lorenza Izzo|Ariel Levy|Sky Ferreira
Departure,Drama|Romance|Family,Andrew Steggall,Juliet Stevenson|Alex Lawther|Phénix Brossard,7.5,Drama|Romance|Family Andrew Steggall Juliet Stevenson|Alex Lawther|Phénix Brossard
The Sessions,Drama|Romance|Comedy,Ben Lewin,John Hawkes|Helen Hunt|William H. Macy,6.6,Drama|Romance|Comedy Ben Lewin John Hawkes|Helen Hunt|William H. Macy
"Food, Inc.",Documentary,Robert Kenner,Michael Pollan|Eric Schlosser|Richard Lobb,7.4,Documentary Robert Kenner Michael Pollan|Eric Schlosser|Richard Lobb
October Baby,Drama,Andrew Erwin,Rachel Hendrix |Jason Burkey|Robert Amaya ,6.8,Drama Andrew Erwin Rachel Hendrix |Jason Burkey|Robert Amaya 
Next Stop Wonderland,Comedy|Drama|Romance,Brad Anderson,Hope Davis|Philip Seymour Hoffman|Holland Taylor,6.0,Comedy|Drama|Romance Brad Anderson Hope Davis|Philip Seymour Hoffman|Holland Taylor
The Skeleton Twins,Drama,Craig Johnson,Kristen Wiig|Bill Hader|Luke Wilson,6.7,Drama Craig Johnson Kristen Wiig|Bill Hader|Luke Wilson
Martha Marcy May Marlene,Drama|Thriller,Sean Durkin,Elizabeth Olsen|Hugh Dancy|John Hawkes,6.7,Drama|Thriller Sean Durkin Elizabeth Olsen|Hugh Dancy|John Hawkes
Obvious Child,Comedy|Romance,Gillian Robespierre,Jenny Slate|Jake Lacy|Gaby Hoffmann,6.7,Comedy|Romance Gillian Robespierre Jenny Slate|Jake Lacy|Gaby Hoffmann
Frozen River,Drama,Courtney Hunt,Melissa Leo|Misty Upham|Charlie McDermott,6.7,Drama Courtney Hunt Melissa Leo|Misty Upham|Charlie McDermott
20 Feet from Stardom,Documentary|Music,Morgan Neville,Bette Midler|Mick Jagger|Sting,7.4,Documentary|Music Morgan Neville Bette Midler|Mick Jagger|Sting
Two Girls and a Guy,Drama|Romance,James Toback,Robert Downey Jr.|Natasha Gregson Wagner|Heather Graham,5.4,Drama|Romance James Toback Robert Downey Jr.|Natasha Gregson Wagner|Heather Graham
Walking and Talking,Comedy|Drama|Romance,Nicole Holofcener,Catherine Keener|Anne Heche|Liev Schreiber,6.6,Comedy|Drama|Romance Nicole Holofcener Catherine Keener|Anne Heche|Liev Schreiber
Who Killed the Electric Car?,Documentary,Chris Paine,Martin Sheen|Mel Gibson|Tom Hanks,7.2,Documentary Chris Paine Martin Sheen|Mel Gibson|Tom Hanks
The Broken Hearts Club: A Romantic Comedy,Comedy|Drama|Romance,Greg Berlanti,Ben Weber|Timothy Olyphant|Matt McGrath,6.3,Comedy|Drama|Romance Greg Berlanti Ben Weber|Timothy Olyphant|Matt McGrath
Bubba Ho-tep,Comedy|Horror|Thriller|Mystery|Fantasy,Don Coscarelli,Bruce Campbell|Ossie Davis|Ella Joyce,6.7,Comedy|Horror|Thriller|Mystery|Fantasy Don Coscarelli Bruce Campbell|Ossie Davis|Ella Joyce
Slam,Drama,Marc Levin,Saul Williams|Sonja Sohn|Bonz Malone,6.7,Drama Marc Levin Saul Williams|Sonja Sohn|Bonz Malone
Brigham City,Crime|Drama|Mystery|Thriller,Richard Dutcher,Richard Dutcher|Matthew A. Brown|Wilford Brimley,7.3,Crime|Drama|Mystery|Thriller Richard Dutcher Richard Dutcher|Matthew A. Brown|Wilford Brimley
Fiza,Drama|Foreign|Romance,Khalid Mohammed,Hrithik Roshan|Karisma Kapoor|Jaya Bachchan,6.1,Drama|Foreign|Romance Khalid Mohammed Hrithik Roshan|Karisma Kapoor|Jaya Bachchan
Orgazmo,Comedy,Trey Parker,Trey Parker|Dian Bachar|Matt Stone,6.2,Comedy Trey Parker Trey Parker|Dian Bachar|Matt Stone
All the Real Girls,Drama|Romance,David Gordon Green,Paul Schneider|Zooey Deschanel|Danny McBride,5.9,Drama|Romance David Gordon Green Paul Schneider|Zooey Deschanel|Danny McBride
Dream with the Fishes,Comedy,,David Arquette|Brad Hunt|Kathryn Erbe,7.7,Comedy  David Arquette|Brad Hunt|Kathryn Erbe
Blue Car,Drama,Karen Moncrieff,Margaret Colin|Agnes Bruckner|David Strathairn,6.7,Drama Karen Moncrieff Margaret Colin|Agnes Bruckner|David Strathairn
Palo Alto,Drama,Gia Coppola,Emma Roberts|Jack Kilmer|Nat Wolff,6.4,Drama Gia Coppola Emma Roberts|Jack Kilmer|Nat Wolff
Ajami,Crime|Drama,Scandar Copti,Fouad Habash|Nisrine Rihan|Elias Saba,6.8,Crime|Drama Scandar Copti Fouad Habash|Nisrine Rihan|Elias Saba
Wristcutters: A Love Story,Comedy|Drama|Fantasy|Romance,Goran Dukic,Patrick Fugit|Shannyn Sossamon|Shea Whigham,6.7,Comedy|Drama|Fantasy|Romance Goran Dukic Patrick Fugit|Shannyn Sossamon|Shea Whigham
I Origins,Science Fiction|Drama,Mike Cahill,Michael Pitt|Brit Marling|Astrid Bergès-Frisbey,7.5,Science Fiction|Drama Mike Cahill Michael Pitt|Brit Marling|Astrid Bergès-Frisbey
The Battle of Shaker Heights,Comedy|Drama|Romance,Kyle Rankin,Shia LaBeouf|Elden Henson|Amy Smart,5.6,Comedy|Drama|Romance Kyle Rankin Shia LaBeouf|Elden Henson|Amy Smart
The Act of Killing,Documentary,Joshua Oppenheimer,Anwar Congo|Herman Koto|Syamsul Arifin,7.5,Documentary Joshua Oppenheimer Anwar Congo|Herman Koto|Syamsul Arifin
Taxi to the Dark Side,Documentary,Alex Gibney,Brian Keith Allen|Moazzam Begg|Christopher Beiring,6.6,Documentary Alex Gibney Brian Keith Allen|Moazzam Begg|Christopher Beiring
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Documentary,Paul Crowder,Pelé|Franz Beckenbauer|Carlos Alberto,4.7,Documentary Paul Crowder Pelé|Franz Beckenbauer|Carlos Alberto
Guiana 1838,Drama,Rohit Jagessar,Aasheekaa Bathija|Thomas Garvey|Kumar Gaurav,2.8,Drama Rohit Jagessar Aasheekaa Bathija|Thomas Garvey|Kumar Gaurav
Lisa Picard Is Famous,,Griffin Dunne,Laura Kirk|Nat DeWolf|Griffin Dunne,4.0, Griffin Dunne Laura Kirk|Nat DeWolf|Griffin Dunne
Antarctica: A Year on Ice,Drama|Adventure|Documentary,Anthony Powell,Genevieve Bachman|William Brotman|Michael Christiansen,7.2,Drama|Adventure|Documentary Anthony Powell Genevieve Bachman|William Brotman|Michael Christiansen
A LEGO Brickumentary,Documentary,Kief Davidson,Jason Bateman|Matthias Klie,6.4,Documentary Kief Davidson Jason Bateman|Matthias Klie
Hardflip,Drama|Action,Johnny Remo,Randy Wayne|John Schneider|Rosanna Arquette,4.7,Drama|Action Johnny Remo Randy Wayne|John Schneider|Rosanna Arquette
Chocolate: Deep Dark Secrets,Thriller,Vivek Agnihotri,Anil Kapoor|Sunil Shetty|Arshad Warsi,3.4,Thriller Vivek Agnihotri Anil Kapoor|Sunil Shetty|Arshad Warsi
The House of the Devil,Mystery|Horror,Ti West,Jocelin Donahue|Mary Woronov|Greta Gerwig,6.0,Mystery|Horror Ti West Jocelin Donahue|Mary Woronov|Greta Gerwig
The Perfect Host,Comedy|Thriller|Crime,Nick Tomnay,David Hyde Pierce|Clayne Crawford|Nathaniel Parker,6.2,Comedy|Thriller|Crime Nick Tomnay David Hyde Pierce|Clayne Crawford|Nathaniel Parker
Safe Men,Comedy|Crime,John Hamburg,Sam Rockwell|Steve Zahn|Paul Giamatti,6.3,Comedy|Crime John Hamburg Sam Rockwell|Steve Zahn|Paul Giamatti
Speedway Junky,Romance|Drama|Crime,Nickolas Perry,Jesse Bradford|Jordan Brower|Jonathan Taylor Thomas,5.2,Romance|Drama|Crime Nickolas Perry Jesse Bradford|Jordan Brower|Jonathan Taylor Thomas
The Last Big Thing,Comedy|Drama,Dan Zukovic,Dan Zukovic|Mark Ruffalo|Sibel Ergener,6.0,Comedy|Drama Dan Zukovic Dan Zukovic|Mark Ruffalo|Sibel Ergener
The Specials,Action|Comedy,Craig Mazin,Jordan Ladd|Rob Lowe|Jamie Kennedy,5.5,Action|Comedy Craig Mazin Jordan Ladd|Rob Lowe|Jamie Kennedy
16 to Life,Comedy|Romance,Becky Smith,Hallee Hirsh|Theresa Russell|Shiloh Fernandez,4.4,Comedy|Romance Becky Smith Hallee Hirsh|Theresa Russell|Shiloh Fernandez
Alone With Her,Crime|Drama|Romance|Thriller,Eric Nicholas,Colin Hanks|Ana Claudia Talancón|Jordana Spiro,6.2,Crime|Drama|Romance|Thriller Eric Nicholas Colin Hanks|Ana Claudia Talancón|Jordana Spiro
Creative Control,Drama|Science Fiction,Benjamin Dickinson,Benjamin Dickinson|Nora Zehetner|Dan Gill,5.4,Drama|Science Fiction Benjamin Dickinson Benjamin Dickinson|Nora Zehetner|Dan Gill
Special,Drama|Fantasy|Science Fiction,Hal Haberman,Michael Rapaport|Josh Peck|Robert Baker,6.6,Drama|Fantasy|Science Fiction Hal Haberman Michael Rapaport|Josh Peck|Robert Baker
Sparkler,,Darren Stein,Park Overall|Veronica Cartwright|Freddie Prinze Jr.,0.0, Darren Stein Park Overall|Veronica Cartwright|Freddie Prinze Jr.
The Helix... Loaded,Action|Comedy|Science Fiction,,,4.8,Action|Comedy|Science Fiction  
In Her Line of Fire,Drama|Action|Thriller,Brian Trenchard-Smith,Mariel Hemingway|David Keith|David Millbern,3.3,Drama|Action|Thriller Brian Trenchard-Smith Mariel Hemingway|David Keith|David Millbern
The Jimmy Show,Comedy|Drama,Frank Whaley,Frank Whaley|Carla Gugino|Ethan Hawke,8.0,Comedy|Drama Frank Whaley Frank Whaley|Carla Gugino|Ethan Hawke
Heli,Crime|Drama,Amat Escalante,Armando Espitia|Andrea Vergara|Linda Gonzalez,6.2,Crime|Drama Amat Escalante Armando Espitia|Andrea Vergara|Linda Gonzalez
Karachi se Lahore,Family|Comedy,,Shehzad Sheikh|Ayesha Omar|Yasir Hussain,8.0,Family|Comedy  Shehzad Sheikh|Ayesha Omar|Yasir Hussain
Loving Annabelle,Drama|Romance,Katherine Brooks,Erin Kelly|Diane Gaidry|Laura Breckenridge,6.4,Drama|Romance Katherine Brooks Erin Kelly|Diane Gaidry|Laura Breckenridge
Hits,Drama|Comedy,David Cross,Meredith Hagner|Matt Walsh|James Adomian,4.9,Drama|Comedy David Cross Meredith Hagner|Matt Walsh|James Adomian
Jimmy and Judy,Action|Crime|Drama|Thriller,Randall Rubin,Edward Furlong|Rachael Bella|William Sadler,5.4,Action|Crime|Drama|Thriller Randall Rubin Edward Furlong|Rachael Bella|William Sadler
Frat Party,Comedy|Romance,Robert Bennett,Randy Wayne|Caroline D'Amore|Jareb Dauplaise,3.5,Comedy|Romance Robert Bennett Randy Wayne|Caroline D'Amore|Jareb Dauplaise
The Party's Over,Drama,Guy Hamilton,Oliver Reed|Clifford David|Ann Lynn,6.1,Drama Guy Hamilton Oliver Reed|Clifford David|Ann Lynn
Proud,Drama,Mary Pat Kelly,Vernel Bagneris|Marcus Chait|Michael Ciesla,5.5,Drama Mary Pat Kelly Vernel Bagneris|Marcus Chait|Michael Ciesla
The Poker House,Drama,Lori Petty,Jennifer Lawrence|Selma Blair|Bokeem Woodbine,6.1,Drama Lori Petty Jennifer Lawrence|Selma Blair|Bokeem Woodbine
Childless,,Charlie Levi,Barbara Hershey|Joe Mantegna|Diane Venora,4.5, Charlie Levi Barbara Hershey|Joe Mantegna|Diane Venora
ZMD: Zombies of Mass Destruction,Horror,Kevin Hamedani,Janette Armand|Doug Fahl|Cooper Hopkins,4.7,Horror Kevin Hamedani Janette Armand|Doug Fahl|Cooper Hopkins
Snow White: A Deadly Summer,Horror|Thriller,David DeCoteau,Shanley Caswell|Maureen McCormick|Eric Roberts,4.8,Horror|Thriller David DeCoteau Shanley Caswell|Maureen McCormick|Eric Roberts
Hidden Away,Romance|Drama,Mikel Rueda,Germán Alcarazu|Adil Koukouh|Ana Wagener,7.6,Romance|Drama Mikel Rueda Germán Alcarazu|Adil Koukouh|Ana Wagener
My Last Day Without You,Comedy|Drama|Romance,Stefan C. Schaefer,Ken Duken|Nicole Beharie|Reg E. Cathey,5.7,Comedy|Drama|Romance Stefan C. Schaefer Ken Duken|Nicole Beharie|Reg E. Cathey
Steppin: The Movie,Comedy|Romance,Michael Taliferro,Wesley Jonathan|Chrystee Pharris|Anthony Anderson,5.0,Comedy|Romance Michael Taliferro Wesley Jonathan|Chrystee Pharris|Anthony Anderson
Doc Holliday's Revenge,Western,David DeCoteau,Tom Berenger|Ashley Hayes|Eric Roberts,3.2,Western David DeCoteau Tom Berenger|Ashley Hayes|Eric Roberts
Black Rock,Thriller|Horror,Katie Aselton,Kate Bosworth|Lake Bell|Jay Paulson,4.9,Thriller|Horror Katie Aselton Kate Bosworth|Lake Bell|Jay Paulson
Truth or Dare,Horror|Thriller|Mystery,Robert Heath,Liam Boyle|Jack Gordon|Florence Hall,5.7,Horror|Thriller|Mystery Robert Heath Liam Boyle|Jack Gordon|Florence Hall
The Pet,Drama|Thriller,D. Stevens,Pierre Dulat|Andrea Edmondson|Summer Nguyen,5.3,Drama|Thriller D. Stevens Pierre Dulat|Andrea Edmondson|Summer Nguyen
Bang Bang Baby,Science Fiction|Drama|Music,Jeffrey St. Jules,Jane Levy|Peter Stormare|Justin Chatwin,6.6,Science Fiction|Drama|Music Jeffrey St. Jules Jane Levy|Peter Stormare|Justin Chatwin
Fear Clinic,Horror,Robert Hall,Thomas Dekker|Robert Englund|Cleopatra Coleman,4.0,Horror Robert Hall Thomas Dekker|Robert Englund|Cleopatra Coleman
Zombie Hunter,Comedy|Action|Science Fiction|Thriller,Kevin King,Martin Copping|Danny Trejo|Clare Niederpruem,3.5,Comedy|Action|Science Fiction|Thriller Kevin King Martin Copping|Danny Trejo|Clare Niederpruem
A Fine Step,Drama,Jonathan Meyers,Luke Perry|Anna Claire Sneed|Leonor Varela,4.1,Drama Jonathan Meyers Luke Perry|Anna Claire Sneed|Leonor Varela
